anno,territorio,livello_territoriale,categoria_sport,n_spettacoli,persone,media_ps,botteghino,pubblico
2006,Abruzzo,regione,Attività sportiva,2641.0,424625.0,,,
2006,Basilicata,regione,Attività sportiva,852.0,144727.0,,,
2006,Calabria,regione,Attività sportiva,933.0,380956.0,,,
2006,Campania,regione,Attività sportiva,2771.0,1414003.0,,,
2006,Molise,regione,Attività sportiva,455.0,65713.0,,,
2006,Puglia,regione,Attività sportiva,2162.0,895128.0,,,
2006,Sardegna,regione,Attività sportiva,2002.0,457728.0,,,
2006,Sicilia,regione,Attività sportiva,1253.0,796321.0,,,
2021,Liguria,regione,Attività sportiva,371.0,243915.0,657.4528302,3936967.75,4172855.93
2021,Lombardia,regione,Attività sportiva,6241.0,1850192.0,296.457619,57501515.29,59733798.19
2021,Piemonte,regione,Attività sportiva,3709.0,910143.0,245.3877056,27788130.23,29210005.99
2021,Valle d'Aosta,regione,Attività sportiva,173.0,10024.0,57.94219653,115212.5,119521.5
2021,Emilia-Romagna,regione,Attività sportiva,1646.0,859231.0,522.0115431,18654296.76,18919828.38
2021,Friuli- Venezia Giulia,regione,Attività sportiva,1046.0,201825.0,192.9493308,3939206.0,4409033.28
2021,Trentino-Alto Adige,regione,Attività sportiva,553.0,170363.0,308.0705244,2686884.2,3047128.84
2021,Veneto,regione,Attività sportiva,1827.0,464207.0,254.0815545,6931791.06,7363545.0
2021,Lazio,regione,Attività sportiva,471.0,782300.0,1660.934183,16449089.04,16688122.07
2021,Marche,regione,Attività sportiva,1081.0,199983.0,184.9981499,2100860.2,2404432.45
2021,Toscana,regione,Attività sportiva,7246.0,830773.0,114.6526359,9225524.73,10017014.84
2021,Umbria,regione,Attività sportiva,332.0,108434.0,326.6084337,1028071.11,1153329.91
2021,Abruzzo,regione,Attività sportiva,401.0,92999.0,231.9177057,660700.07,776949.07
2021,Basilicata,regione,Attività sportiva,91.0,31506.0,346.2197802,427972.89,443820.04
2021,Calabria,regione,Attività sportiva,182.0,157739.0,866.6978022,1802259.99,1929154.74
2021,Campania,regione,Attività sportiva,523.0,695239.0,1329.328872,14014656.12,14886573.73
2021,Molise,regione,Attività sportiva,78.0,25554.0,327.6153846,412064.5,432598.5
2021,Puglia,regione,Attività sportiva,415.0,353713.0,852.3204819,4044505.94,4247766.11
2021,Sardegna,regione,Attività sportiva,448.0,176343.0,393.6227679,2239073.46,2291033.24
2021,Sicilia,regione,Attività sportiva,358.0,160748.0,449.0167598,1615599.15,1742241.13
